Date,Open,High,Low,Close,Adj Close,Volume
2013-07-15,46.259998,46.360001,46.020000,46.180000,43.367825,372600
2013-07-16,46.253334,46.473331,45.806667,45.860001,43.067314,554400
2013-07-17,45.913334,46.180000,45.619999,45.799999,43.010975,684000
2013-07-18,45.980000,46.419998,45.866665,46.353333,43.530605,414400
2013-07-19,46.919998,46.919998,45.966667,46.366665,43.543129,475000
2013-07-22,46.366665,47.053333,46.333332,47.053333,44.187984,513400
2013-07-23,47.106667,47.139999,46.773335,46.893333,44.037724,530800
2013-07-24,47.013332,47.073334,46.453335,46.506668,43.674603,475600
2013-07-25,46.766666,47.193333,46.299999,47.080002,44.213024,698100
2013-07-26,46.726665,46.933334,46.486668,46.893333,44.037724,756300
2013-07-29,46.880001,47.000000,46.686668,46.900002,44.043991,682500
2013-07-30,47.133335,47.320000,46.986668,47.146667,44.275635,588300
2013-07-31,47.306667,47.826668,47.093334,47.386665,44.501030,760000
2013-08-01,47.833332,48.726665,47.693333,48.626667,45.665524,764100
2013-08-02,48.433334,48.493332,47.959999,48.266666,45.327442,466900
